index,location,price,floor,area,is_furnished,rooms
681023277,Байконур,230000,16,65.0,полностью,2
687179114,Астана,150000,9,42.0,полностью,1
688588758,Есильский,230000,7,70.0,полностью,2
688454265,Алматы,200000,10,90.0,полностью,1
687812720,Есильский,320000,6,63.0,полностью,2
686362301,Алматы,200000,6,63.0,полностью,2
681167405,Астана,450000,20,150.0,полностью,4
688461470,Есильский,150000,3,42.0,полностью,1
687862711,Есильский,700000,6,140.0,полностью,4
688123897,Есильский,300000,6,55.0,полностью,2
687810427,Есильский,700000,6,140.0,полностью,3
687868242,Есильский,800000,7,120.0,полностью,2
688591217,Есильский,210000,18,60.0,полностью,1
688588599,Алматы,110000,7,40.0,полностью,3
688597671,Сарыарка,160000,13,55.0,полностью,3
687858998,Есильский,800000,6,110.0,полностью,2
688096336,Байконур,200000,2,60.0,полностью,3
688452615,Алматы,200000,4,77.0,полностью,1
688173399,Алматы,220000,7,85.0,полностью,3
687715350,Алматы,150000,3,37.0,полностью,2
47780265,Алматы,250000,6,78.0,полностью,3
688417422,Есильский,190000,5,70.0,полностью,3
688553685,Есильский,270000,4,55.0,полностью,2
675348491,Байконур,250000,3,78.0,полностью,4
688527586,Есильский,200000,7,87.0,полностью,1
677565193,Есильский,200000,4,52.0,полностью,3
688353881,Есильский,300000,9,117.0,частично,1
688541156,Нура,170000,9,39.0,полностью,2
688394631,Есильский,300000,3,110.0,полностью,1
682013272,Есильский,220000,5,48.0,полностью,2
688325042,Алматы,200000,5,60.0,полностью,4
688595431,Алматы,150000,4,40.0,полностью,2
688595641,Нура,300000,9,65.0,полностью,1
686249792,Есильский,280000,1,100.0,полностью,1
680705017,Есильский,220000,7,42.0,полностью,2
688595735,Нура,250000,7,38.0,полностью,1
686873252,Есильский,185000,14,43.0,полностью,2
688368536,Алматы,175000,7,56.0,полностью,3
677395015,Есильский,160000,10,54.0,полностью,1
688436017,Есильский,330000,4,60.0,полностью,5
678510513,Есильский,600000,7,110.0,полностью,1
684100840,Сарыарка,250000,14,36.0,полностью,1
687666663,Сарыарка,650000,23,310.0,полностью,1
688418143,Есильский,355000,10,46.5,полностью,1
688070319,Алматы,145000,9,38.0,полностью,2
688089097,Алматы,160000,3,35.4,полностью,2
688280623,Алматы,170000,3,60.0,полностью,2
687377127,Есильский,220000,7,38.0,полностью,1
688594903,Есильский,300000,6,65.0,полностью,2
681456636,Есильский,350000,12,44.0,полностью,1
688398831,Алматы,220000,6,56.0,полностью,1
674142718,Есильский,200000,12,46.0,полностью,2
688583785,Алматы,200000,2,45.0,полностью,1
687677819,Алматы,200000,9,42.0,полностью,1
688580646,Есильский,250000,10,40.0,полностью,1
688246421,Алматы,300000,15,68.0,полностью,1
688230699,Есильский,180000,4,45.0,полностью,1
688594056,Алматы,140000,3,41.0,полностью,2
688594142,Есильский,250000,5,44.0,полностью,2
688569325,Сарыарка,100000,1,30.0,полностью,2
686898493,Есильский,650000,2,140.0,полностью,2
685777824,Есильский,250000,11,43.0,полностью,1
687425783,Есильский,265000,3,45.0,полностью,3
680306842,Есильский,250000,11,42.0,полностью,2
661639297,Есильский,270000,4,50.0,полностью,1
688274460,Есильский,240000,3,70.0,полностью,2
688593094,Нура,170000,12,41.0,полностью,1
688455226,Астана,370000,4,100.0,полностью,1
684671785,Есильский,270000,7,45.0,полностью,2
680928601,Есильский,160000,12,43.5,полностью,1
676094909,Есильский,230000,10,75.0,полностью,2
688543683,Алматы,150000,5,40.0,полностью,2
676838172,Алматы,140000,7,40.0,полностью,2
681532946,Есильский,280000,5,67.0,полностью,2
688525883,Алматы,120000,3,36.0,частично,2
688239736,Алматы,400000,3,52.0,полностью,3
688354330,Есильский,330000,5,62.0,полностью,4
682661927,Алматы,300000,12,72.0,полностью,4
683629059,Есильский,230000,15,50.0,полностью,4
673009722,Алматы,300000,10,80.0,полностью,4
30857303,Алматы,450000,20,144.0,полностью,5
688171112,Алматы,700000,12,180.0,полностью,5
668470937,Алматы,800000,8,180.0,полностью,2
28306700,Алматы,600000,8,176.0,полностью,1
675070730,Алматы,500000,14,160.0,полностью,1
29810907,Алматы,1000000,14,220.0,полностью,2
679914653,Алматы,1100000,20,220.0,полностью,2
688589605,Алматы,150000,7,50.0,полностью,2
688590306,Есильский,90000,3,30.0,полностью,2
688559214,Есильский,180000,5,52.0,полностью,2
688584278,Есильский,250000,3,80.0,полностью,2
683808372,Есильский,280000,14,55.0,полностью,1
688049407,Есильский,250000,5,75.0,полностью,4
687795473,Алматы,250000,7,60.0,полностью,1
687867994,Есильский,350000,5,70.0,полностью,2
687867681,Есильский,270000,6,70.0,полностью,3
687810528,Алматы,250000,10,50.0,полностью,3
688362136,Есильский,500000,11,128.0,полностью,4
688278680,Астана,200000,6,50.0,полностью,1
682810042,Алматы,350000,17,55.0,полностью,3
685359460,Нура,400000,5,100.0,полностью,4
688589876,Алматы,400000,12,110.0,полностью,1
688589138,Есильский,1000000,5,200.0,полностью,2
677134761,Есильский,175000,4,50.0,полностью,2
686302900,Астана,350000,7,110.6,частично,2
686932569,Есильский,300000,9,80.0,полностью,2
677390658,Алматы,2000000,6,150.0,полностью,2
686746794,Алматы,150000,1,40.0,полностью,2
688530565,Астана,200000,7,47.0,полностью,2
678783411,Есильский,270000,3,50.0,полностью,2
680645486,Есильский,300000,8,50.0,полностью,3
683277290,Алматы,350000,9,55.0,полностью,2
688540040,Алматы,250000,9,67.0,полностью,1
688562156,Астана,300000,6,67.0,полностью,1
688505740,Есильский,200000,7,70.0,полностью,1
687556020,Алматы,250000,2,65.0,полностью,1
688581132,Есильский,1000000,15,100.0,полностью,3
673651868,Байконур,220000,13,59.0,полностью,3
688315156,Нура,170000,3,44.0,полностью,1
688588683,Байконур,130000,7,40.0,полностью,1
688587492,Алматы,160000,13,40.0,полностью,1
688580876,Есильский,165000,6,40.0,полностью,2
688501642,Алматы,130000,1,35.0,полностью,4
688420216,Алматы,140000,4,46.0,полностью,2
666214724,Алматы,370000,2,97.0,полностью,1
688422694,Есильский,600000,17,120.0,полностью,2
688571881,Есильский,150000,2,40.0,полностью,1
688589467,Сарыарка,135000,10,40.0,полностью,2
688589229,Алматы,150000,9,40.0,полностью,6
685744734,Алматы,250000,13,105.0,частично,3
688365285,Есильский,550000,20,140.0,полностью,2
668583272,Есильский,265000,1,70.0,полностью,1
675409245,Есильский,160000,3,39.0,полностью,3
681091417,Сарыарка,170000,3,55.0,полностью,2
688567907,Есильский,170000,7,40.0,полностью,1
678265484,Есильский,350000,9,78.0,полностью,3
688468542,Есильский,230000,6,64.0,полностью,2
688589489,Алматы,3500000,15,410.0,полностью,4
688506229,Есильский,550000,10,145.0,полностью,3
688502710,Есильский,250000,2,86.0,полностью,4
688246470,Есильский,260000,15,70.0,полностью,1
688556677,Сарыарка,80000,1,25.0,полностью,1
688378336,Есильский,500000,17,86.0,полностью,6
688228343,Есильский,360000,4,70.0,полностью,3
688510202,Есильский,200000,1,43.0,полностью,4
687773970,Есильский,400000,7,85.0,полностью,1
688588538,Байконур,170000,10,75.0,полностью,1
687841952,Есильский,300000,11,60.0,полностью,2
688588612,Есильский,1000000,5,160.0,полностью,1
688051355,Сарыарка,400000,8,100.0,полностью,2
661524336,Алматы,570000,26,150.0,полностью,2
688550198,Есильский,200000,3,38.0,полностью,1
688274416,Алматы,150000,8,33.5,полностью,2
688221042,Астана,800000,10,350.0,без мебели,4
675872817,Алматы,270000,5,104.4,полностью,2
675891368,Есильский,650000,4,110.0,полностью,2
688588501,Алматы,130000,7,45.0,полностью,1
687161015,Нура,180000,16,45.0,полностью,1
679622393,Есильский,400000,8,77.7,полностью,2
687600065,Есильский,310000,8,36.0,полностью,2
688431572,Есильский,350000,5,46.0,полностью,3
688496730,Нура,230000,8,70.0,полностью,4
688089326,Есильский,230000,5,45.3,полностью,3
678746482,Есильский,350000,15,63.0,полностью,3
687173682,Нура,650000,7,125.0,полностью,1
688579011,Есильский,300000,22,50.0,полностью,4
688564358,Алматы,160000,8,37.0,полностью,3
687680311,Есильский,160000,13,36.0,полностью,4
685764025,Нура,210000,7,62.0,полностью,2
688588272,Нура,270000,14,65.0,полностью,2
688588147,Есильский,300000,3,121.0,полностью,1
688587891,Есильский,1200000,8,210.0,полностью,2
57570628,Есильский,300000,2,78.0,полностью,3
688227755,Байконур,190000,3,70.0,полностью,1
688319257,Есильский,350000,9,44.0,полностью,2
683359991,Алматы,800000,21,140.0,полностью,6
684341465,Сарыарка,260000,7,108.0,полностью,2
688496642,Алматы,350000,15,165.0,без мебели,2
688029097,Есильский,230000,6,75.0,полностью,3
688201244,Есильский,230000,11,65.0,полностью,2
688193822,Нура,200000,15,56.0,полностью,4
688517047,Есильский,230000,6,60.0,полностью,3
688440704,Есильский,400000,5,85.0,полностью,1
685284907,Есильский,250000,12,45.0,полностью,3
688374929,Есильский,170000,8,48.0,полностью,1
688433693,Есильский,2000000,6,327.0,полностью,1
57548772,Алматы,260000,10,90.0,полностью,3
686441746,Есильский,350000,3,44.0,полностью,4
679713985,Есильский,300000,9,100.0,полностью,5
688548379,Сарыарка,150000,7,44.0,полностью,1
687184571,Есильский,1100000,8,138.0,полностью,4
687446962,Есильский,380000,5,130.0,полностью,5
688553204,Есильский,170000,7,43.0,полностью,4
688448781,Есильский,330000,3,119.0,полностью,3
688587280,Сарыарка,130000,7,40.0,полностью,3
688391855,Есильский,180000,6,45.0,полностью,2
686213871,Алматы,600000,14,130.0,полностью,2
677647652,Есильский,900000,1,190.0,полностью,3
687734929,Есильский,1900000,8,200.0,полностью,3
686495255,Есильский,180000,6,43.0,полностью,2
688004425,Есильский,650000,8,170.0,полностью,5
686546269,Есильский,1300000,12,220.0,полностью,5
687047028,Есильский,1200000,5,200.0,полностью,3
688453018,Есильский,500000,6,120.0,полностью,4
688451684,Есильский,600000,8,120.0,полностью,5
688450656,Есильский,450000,5,90.0,полностью,6
688451357,Есильский,650000,20,130.0,полностью,4
688452624,Есильский,400000,12,100.0,полностью,3
688450092,Есильский,500000,10,100.0,полностью,3
688450479,Есильский,550000,4,110.0,полностью,2
688452854,Есильский,500000,20,100.0,полностью,3
684811082,Алматы,1000000,12,250.0,полностью,3
688230252,Есильский,1300000,5,220.0,полностью,3
688551944,Есильский,650000,12,130.0,полностью,4
688553086,Есильский,600000,10,140.0,полностью,4
687978710,Алматы,1500000,4,230.0,полностью,2
685903993,Есильский,1700000,6,280.0,полностью,3
685904848,Есильский,900000,5,170.0,полностью,3
688338727,Есильский,900000,8,115.0,полностью,1
688551379,Алматы,450000,18,100.0,полностью,1
687373985,Сарыарка,350000,10,103.0,полностью,1
688586958,Есильский,230000,3,105.0,полностью,2
688551288,Алматы,450000,4,105.0,полностью,1
688350948,Есильский,700000,5,205.0,полностью,4
682783423,Алматы,600000,10,160.0,полностью,3
682783179,Алматы,700000,11,168.0,полностью,3
687859148,Есильский,360000,5,65.0,полностью,2
688420029,Есильский,400000,4,127.0,частично,1
687894150,Есильский,300000,3,90.0,полностью,2
688585344,Сарыарка,150000,4,45.0,полностью,1
688507527,Алматы,170000,9,70.0,полностью,4
680313713,Алматы,270000,6,47.0,полностью,2
673743536,Есильский,240000,5,50.4,полностью,2
688570307,Алматы,150000,1,40.0,полностью,2
688580096,Нура,500000,6,100.0,полностью,2
668297934,Сарыарка,650000,4,143.0,полностью,2
688513004,Алматы,650000,8,80.0,полностью,2
688338914,Есильский,250000,5,59.0,полностью,2
687947577,Есильский,140000,4,40.0,полностью,3
681937828,Есильский,300000,11,45.0,полностью,2
666931792,Сарыарка,160000,8,40.0,полностью,1
687547113,Есильский,650000,7,150.0,полностью,2
58573357,Есильский,170000,10,35.4,полностью,4
687916967,Алматы,200000,2,57.0,полностью,4
688586141,Есильский,170000,2,41.0,полностью,2
688586052,Есильский,190000,3,65.0,полностью,1
688585928,Есильский,180000,4,41.0,полностью,2
681217759,Есильский,250000,6,52.0,полностью,3
682431365,Есильский,300000,2,65.0,полностью,1
688563399,Есильский,350000,10,73.0,полностью,2
672177329,Есильский,350000,6,75.0,полностью,1
685710413,Есильский,650000,10,95.0,полностью,1
684611171,Нура,300000,11,43.0,полностью,2
688225555,Байконур,60000,7,16.0,без мебели,1
688402761,Есильский,180000,7,70.0,частично,3
688138936,Есильский,600000,10,120.0,полностью,3
680837537,Есильский,600000,5,138.0,полностью,2
688362835,Есильский,300000,4,60.0,полностью,3
688489006,Алматы,160000,6,40.0,полностью,1
688363083,Есильский,350000,8,70.0,полностью,2
688359677,Есильский,600000,6,100.0,полностью,2
686419679,Есильский,150000,4,43.0,полностью,3
688572873,Есильский,230000,4,67.0,полностью,2
670523388,Есильский,270000,10,30.0,полностью,1
688580043,Есильский,250000,7,60.0,полностью,1
688573230,Есильский,180000,6,43.0,полностью,2
685622675,Есильский,350000,6,66.0,полностью,3
662196279,Есильский,180000,2,40.0,полностью,3
687839866,Есильский,1000000,4,130.0,полностью,3
688389899,Сарыарка,260000,12,90.0,полностью,1
688535797,Есильский,180000,6,42.0,полностью,4
688362415,Есильский,600000,6,118.0,полностью,2
688420804,Есильский,160000,4,38.0,полностью,4
688514859,Сарыарка,250000,18,51.0,частично,2
685265993,Есильский,350000,7,73.0,полностью,3
688362275,Есильский,450000,4,110.0,полностью,3
688569103,Есильский,250000,4,40.0,полностью,2
688429475,Есильский,140000,2,12.0,полностью,2
688545479,Есильский,220000,4,46.0,полностью,2
687465516,Есильский,329000,14,65.0,полностью,1
670110196,Есильский,300000,4,130.0,полностью,5
681906435,Есильский,450000,4,110.0,полностью,3
685418673,Есильский,500000,12,110.0,полностью,2
682340558,Есильский,250000,8,46.0,полностью,2
687379387,Есильский,600000,10,120.0,полностью,2
684505338,Есильский,330000,8,72.0,полностью,2
682035380,Есильский,600000,5,130.0,полностью,2
682872070,Есильский,300000,11,68.0,полностью,2
688447957,Есильский,1000000,14,110.0,полностью,2
683700041,Есильский,450000,4,134.0,полностью,3
683868640,Есильский,250000,6,75.0,полностью,2
684505197,Есильский,300000,5,70.0,полностью,4
682343136,Сарыарка,300000,12,74.0,полностью,1
678569562,Есильский,150000,4,37.0,полностью,2
24672686,Сарыарка,600000,33,270.0,полностью,3
21442890,Есильский,300000,2,120.0,полностью,3
688438838,Есильский,280000,8,75.0,полностью,2
53384832,Есильский,160000,2,45.0,полностью,3
686587156,Алматы,500000,12,104.0,полностью,2
688536421,Есильский,300000,5,70.0,полностью,4
677309259,Сарыарка,250000,9,84.0,полностью,2
688566625,Байконур,230000,7,70.0,полностью,3
688429433,Сарыарка,250000,19,47.0,полностью,2
678760158,Есильский,350000,4,104.0,полностью,1
688550804,Есильский,270000,4,56.0,полностью,2
28701926,Алматы,1000000,4,160.0,полностью,2
688172617,Есильский,180000,3,45.0,частично,2
687275807,Нура,2300000,10,126.0,полностью,2
688584568,Есильский,350000,2,105.0,полностью,2
684913562,Сарыарка,300000,9,115.0,полностью,2
688099459,Есильский,300000,18,108.0,полностью,2
688323767,Есильский,750000,11,90.0,полностью,2
687525247,Есильский,300000,7,66.0,частично,1
688078332,Сарыарка,500000,11,167.0,частично,2
686493923,Есильский,300000,2,57.0,частично,1
688235716,Алматы,270000,2,70.0,полностью,3
688572485,Есильский,250000,6,60.6,частично,1
687861971,Есильский,180000,12,40.0,полностью,1
680738470,Есильский,300000,2,70.0,полностью,3
688584340,Есильский,400000,6,45.0,полностью,2
687465104,Есильский,220000,6,46.0,полностью,4
688584164,Есильский,210000,21,46.0,полностью,2
688584038,Есильский,400000,13,75.0,полностью,2
688315007,Есильский,400000,15,70.0,полностью,2
686996776,Алматы,240000,6,78.0,частично,2
677656256,Есильский,270000,17,50.0,полностью,2
688494992,Есильский,230000,7,43.0,полностью,2
688538574,Есильский,270000,4,58.0,полностью,3
26124590,Есильский,200000,11,43.0,полностью,1
685329812,Сарыарка,190000,2,100.0,полностью,3
688561788,Есильский,200000,7,40.0,полностью,2
685904603,Нура,200000,2,39.0,полностью,3
688259770,Есильский,1200000,12,116.0,полностью,2
47693488,Сарыарка,220000,2,50.0,полностью,1
688051507,Сарыарка,1000000,8,130.0,полностью,1
688427377,Алматы,200000,9,56.0,частично,1
688407399,Алматы,200000,2,55.0,полностью,1
688571848,Есильский,250000,3,55.0,полностью,3
688378125,Алматы,450000,6,60.0,полностью,2
674642325,Есильский,250000,9,60.0,полностью,1
688302038,Нура,520000,7,69.0,полностью,4
684884686,Есильский,500000,7,105.0,полностью,1
688548396,Есильский,130000,5,40.0,полностью,1
684620159,Есильский,1200000,7,180.0,полностью,2
682398592,Есильский,250000,4,48.0,полностью,2
688580419,Есильский,260000,5,85.0,полностью,2
688583657,Есильский,350000,4,80.0,полностью,2
687417397,Есильский,230000,2,40.0,полностью,4
672022820,Есильский,130000,1,43.0,полностью,1
687158950,Нура,160000,5,37.0,полностью,1
687453144,Нура,200000,12,45.0,полностью,1
688467841,Алматы,370000,15,123.0,полностью,3
688466544,Есильский,280000,6,70.0,полностью,1
685824971,Есильский,170000,7,37.0,полностью,2
681996639,Сарыарка,600000,3,183.0,полностью,2
680066734,Есильский,200000,2,38.0,полностью,1
688103638,Есильский,210000,2,40.0,полностью,3
688342993,Есильский,270000,7,53.0,полностью,2
685770844,Есильский,300000,21,50.0,полностью,1
687641896,Алматы,200000,9,45.0,полностью,3
684931613,Сарыарка,350000,8,62.0,полностью,3
688454623,Алматы,1300000,15,160.0,полностью,3
686877609,Есильский,240000,8,41.0,полностью,4
54438485,Байконур,80000,2,14.0,полностью,5
688472146,Байконур,150000,10,36.0,полностью,1
688544073,Алматы,270000,4,75.0,полностью,2
688348317,Есильский,200000,3,39.0,полностью,3
684880664,Есильский,240000,7,48.0,полностью,3
688480383,Есильский,300000,11,48.0,полностью,3
688337126,Есильский,250000,15,38.0,полностью,2
677288518,Байконур,200000,5,58.0,полностью,1
686563212,Есильский,250000,4,50.0,полностью,1
688553844,Алматы,220000,2,40.0,полностью,2
670040202,Есильский,370000,16,80.0,полностью,2
688530880,Есильский,500000,2,102.0,полностью,3
684754028,Байконур,370000,5,93.0,полностью,2
688057452,Есильский,600000,4,130.0,полностью,3
683112212,Сарыарка,600000,21,300.0,полностью,1
688043772,Есильский,200000,4,39.2,полностью,2
673016574,Есильский,240000,15,60.0,полностью,2
687691191,Сарыарка,400000,5,110.0,полностью,1
688225392,Алматы,350000,2,87.0,полностью,1
688142218,Есильский,400000,6,116.0,полностью,2
687768297,Нура,250000,9,67.0,полностью,3
688553275,Сарыарка,140000,13,41.5,полностью,1
688530871,Есильский,200000,7,50.5,полностью,3
53760314,Есильский,280000,5,100.0,полностью,1
687393522,Алматы,250000,11,68.0,полностью,2
687331058,Сарыарка,210000,2,63.0,полностью,2
687847058,Нура,300000,7,48.0,полностью,3
688561771,Алматы,180000,4,72.0,без мебели,2
688560927,Алматы,180000,5,38.0,полностью,4
676856522,Есильский,250000,9,62.0,полностью,3
686005125,Есильский,230000,5,55.0,полностью,3
688522049,Есильский,160000,5,40.0,частично,1
680165024,Есильский,150000,11,37.0,полностью,2
688505769,Алматы,400000,3,75.0,полностью,1
687861918,Есильский,400000,4,90.0,полностью,1
688402080,Есильский,180000,7,40.0,полностью,2
682275811,Есильский,350000,7,110.0,полностью,5
677102083,Есильский,190000,7,40.0,полностью,2
672943129,Есильский,450000,2,70.0,полностью,1
687677144,Есильский,280000,9,51.0,полностью,3
688424107,Есильский,230000,2,75.0,полностью,2
688075226,Алматы,260000,5,69.0,полностью,3
661362754,Астана,900000,33,128.0,полностью,3
683221444,Есильский,210000,2,75.0,полностью,2
688523125,Есильский,170000,5,80.0,без мебели,3
688559162,Есильский,200000,8,45.2,полностью,2
681298210,Есильский,200000,3,63.0,полностью,2
686252477,Есильский,200000,6,40.0,полностью,2
688323460,Есильский,400000,9,40.0,полностью,2
688411600,Нура,300000,9,60.0,полностью,2
688221524,Сарыарка,1900000,8,200.0,полностью,2
688548538,Алматы,150000,1,50.0,без мебели,1
688327083,Алматы,150000,9,40.0,без мебели,3
688103221,Астана,320000,6,85.0,полностью,2
686761953,Есильский,200000,4,42.0,частично,3
688086214,Нура,350000,2,107.0,полностью,1
686019219,Алматы,280000,14,70.0,полностью,1
687939103,Есильский,230000,8,55.0,полностью,1
687735476,Алматы,330000,5,95.0,полностью,3
688503156,Есильский,200000,2,50.0,полностью,1
674681792,Есильский,420000,7,56.0,полностью,2
682441612,Есильский,230000,3,50.0,полностью,2
680120836,Есильский,250000,3,62.0,полностью,4
688281207,Алматы,260000,3,64.0,полностью,2
688530896,Есильский,250000,2,64.0,полностью,1
688538081,Алматы,140000,4,44.0,полностью,1
688576536,Есильский,280000,2,70.0,полностью,2
688238903,Есильский,280000,6,58.0,полностью,4
679049759,Алматы,250000,10,85.0,полностью,1
682734775,Есильский,190000,7,39.0,полностью,1
686991877,Есильский,250000,11,41.0,полностью,1
687665884,Сарыарка,50000,7,18.0,полностью,1
687916893,Алматы,550000,4,120.0,полностью,5
688480287,Есильский,150000,8,20.0,полностью,1
666332712,Алматы,200000,21,56.0,полностью,2
662118797,Астана,260000,8,92.0,полностью,1
687390961,Алматы,1250000,6,165.0,полностью,3
674736410,Астана,375000,7,50.0,полностью,2
686750617,Есильский,220000,9,44.0,полностью,3
688580577,Астана,200000,8,40.0,полностью,4
687011894,Алматы,250000,5,50.0,частично,2
681325889,Есильский,650000,4,160.0,частично,2
688448764,Есильский,220000,5,45.0,полностью,3
688550624,Нура,180000,8,40.0,полностью,2
688538931,Алматы,180000,5,45.0,полностью,1
688455605,Нура,220000,4,42.0,полностью,1
677816917,Есильский,600000,2,200.0,полностью,2
688448202,Байконур,130000,3,35.0,полностью,1
688560365,Есильский,250000,12,70.0,полностью,3
686359483,Сарыарка,220000,4,23.0,полностью,1
678425465,Байконур,440000,8,124.0,полностью,2
676879871,Есильский,300000,8,75.0,полностью,2
682012517,Есильский,650000,6,123.6,полностью,1
687556448,Есильский,800000,2,180.0,полностью,1
688493932,Нура,190000,3,56.0,полностью,2
688579433,Алматы,250000,2,58.0,полностью,2
681878960,Есильский,480000,4,110.0,полностью,3
681200054,Есильский,200000,2,46.0,полностью,2
688076840,Нура,200000,6,45.0,полностью,3
688304750,Алматы,200000,4,45.3,полностью,4
688033350,Есильский,350000,12,74.0,полностью,1
676560751,Алматы,55000,3,18.0,полностью,1
51620336,Есильский,450000,10,120.0,полностью,2
682196785,Есильский,150000,10,40.0,полностью,4
687103307,Алматы,160000,8,42.0,полностью,3
682575844,Есильский,250000,8,55.0,полностью,2
672867710,Есильский,270000,7,28.0,полностью,1
671106201,Есильский,255000,7,25.0,полностью,1
688286994,Сарыарка,300000,7,69.0,полностью,3
687863624,Есильский,180000,9,50.0,полностью,1
679734046,Сарыарка,250000,4,64.0,полностью,4
674054469,Алматы,340000,18,75.0,полностью,2
688524187,Есильский,240000,6,88.0,полностью,4
680688731,Есильский,550000,2,180.0,полностью,4
678333945,Есильский,200000,9,40.0,полностью,2
688578688,Алматы,180000,12,43.5,полностью,3
688578676,Алматы,170000,10,40.0,полностью,1
675169533,Есильский,250000,9,45.9,полностью,3
678077679,Есильский,480000,4,145.0,полностью,2
688386917,Есильский,500000,11,135.0,полностью,1
688109634,Есильский,300000,10,77.0,полностью,3
688546206,Есильский,220000,6,42.0,полностью,4
688444922,Есильский,220000,5,45.0,полностью,1
686812342,Алматы,280000,5,60.0,полностью,1
